Plot_ID,Region,Crop_Type,Soil_Type,Fertilizer_Used,Irrigation_Water_Liters,Pesticide_Use_Kg,Crop_Yield_MT,Seasonal_Temp_C,Rainfall_mm,Humidity_Pct,Pest_Infestation_Level,Farm_Size_Acres
PLOT_1000,East,Soybeans,Loamy,No,68091.02542756425,38.70429990240052,602.13,11.889604622664702,2205.920976845983,85.9,High,525.837932208598
PLOT_1001,North,Cotton,Clay,Yes,31494.52043874648,86.84633920026103,799.08,18.693254123636976,2122.4199236803324,89.4,High,665.9710342097678
PLOT_1002,West,Maize,Sandy,No,4786.265331925196,53.76075484752671,1575.23,13.320202993147404,987.569155005016,67.5,Low,646.9029081457364
PLOT_1003,East,Cotton,Loamy,No,51589.229608336,29.31849621248891,613.29,19.45350516204048,2233.7837409990907,72.8,High,769.5626346975276
PLOT_1004,Southwest,Cotton,Sandy,Yes,57497.42038573619,96.45994984843524,663.14,12.897902963229456,1571.745798361856,50.4,Medium,901.6559051282966
PLOT_1005,East,Rice,Loamy,No,53461.00445089686,24.26844054204177,1316.88,31.37610402377645,1191.0682449507551,83.0,High,281.67462326248346
PLOT_1006,Southwest,Maize,Clay,Yes,77557.5386884042,111.95545801811834,3683.4,14.266458122962405,1756.9924093345242,72.9,High,641.5384366316463
PLOT_1007,North,Maize,Sandy,Yes,69585.79807724296,69.33369050647845,3153.0,37.25906962684441,377.7673536358415,65.2,Low,993.712483169496
PLOT_1008,West,Maize,Clay,Yes,38111.20868172929,18.212575484912584,2422.52,36.15011362325251,671.6619746016924,38.6,High,563.790935897451
PLOT_1009,South,Cotton,Sandy,Yes,8777.169047900952,91.75904169137306,174.61,10.4371739350595,2020.1604608830912,90.0,Low,344.972192452684
PLOT_1010,West,Soybeans,Loamy,No,40180.466482151765,69.89537994681756,1507.92,38.66324337648366,899.3636196113442,71.9,High,790.8302542972144
PLOT_1011,Southwest,Maize,Loamy,No,56382.54551711376,42.25719647435119,2291.55,10.926218135787746,1695.5205139896866,46.6,Low,991.1643640219606
PLOT_1012,West,Cotton,Clay,Yes,50185.94542525235,57.817422527981854,133.49,17.66866511864181,1216.4808563518168,71.4,Medium,89.82124711895871
PLOT_1013,East,Rice,Loamy,No,44898.41714602725,42.29221794843735,543.85,11.036452408831842,2273.3130022983382,75.6,Low,935.496722837564
PLOT_1014,North,Soybeans,Silt,No,39630.24080915834,37.87822946784801,1154.71,20.74699158525811,2492.934438492448,66.5,Low,988.6528005596988
PLOT_1015,South,Rice,Loamy,Yes,26325.90235008136,25.451052605464024,1868.31,26.44372882282469,2338.0206388329284,78.1,Low,561.9046691924991
PLOT_1016,East,Soybeans,Loamy,Yes,25078.353891071823,50.34589164218448,3800.17,35.49263580848442,958.8949880605924,69.9,High,1180.217203329884
PLOT_1017,South,Cotton,Loamy,Yes,42017.59239836095,36.37340078950884,1688.53,20.81540961503476,786.8664553536851,91.9,Medium,947.2493837381612
PLOT_1018,East,Wheat,Loamy,Yes,16205.839128653324,90.42931088173964,2457.04,32.57568078953973,1417.4785106466538,38.2,Low,931.790139401364
PLOT_1019,East,Soybeans,Clay,Yes,29892.09219168492,90.48459264541329,1486.27,16.00014262780737,366.5018393814056,41.4,Low,901.188710678305
PLOT_1020,East,Rice,Clay,Yes,28622.42487796757,67.73003031945481,711.91,34.019150615812045,408.0711339421589,45.4,Low,193.4706023136547
PLOT_1021,East,Cotton,Clay,Yes,48622.09292039927,102.24306593379012,414.3,17.5518913890956,1594.90393915175,76.4,Low,272.41860044681783
PLOT_1022,South,Soybeans,Loamy,Yes,9067.854827589868,110.16746487575602,1702.43,14.593432190200572,1521.0111593718934,73.7,Low,564.8283057853437
PLOT_1023,East,Wheat,Loamy,Yes,67054.81970014723,77.47080717928414,512.03,15.933083211969738,2587.809475329335,88.5,High,327.84515470196703
PLOT_1024,East,Wheat,Loamy,Yes,46740.75690921456,82.36689534542921,2355.91,15.826020124219372,804.1441295684558,79.0,High,507.060552215838
PLOT_1025,West,Maize,Loamy,Yes,54982.827738971086,40.36073872329565,7783.5,26.41161214006372,930.733840611054,65.5,High,1067.829970258661
PLOT_1026,West,Maize,Loamy,Yes,57435.13668571689,116.85865008818998,4190.2,37.033522598020674,605.4664452341451,94.5,Medium,991.827366876934
