Plot_ID,Region,Crop_Type,Soil_Type,Fertilizer_Used,Irrigation_Water_Liters,Pesticide_Use_Kg,Crop_Yield_MT,Seasonal_Temp_C,Rainfall_mm,Humidity_Pct,Pest_Infestation_Level,Farm_Size_Acres
PLOT_1000,East,Soybeans,?,no,68091.02542756425,38.70429990240052,602.13 MT,11.889604622664702,2205.920976845983,85.9 %,High  ,525.837932208598
PLOT_1001,North,Cotton,Clay,Yes,31494.52043874648,86.84633920026103,799.08 MT,18.693254123636976,2122.4199236803324,89.4 %,High,665.9710342097678
PLOT_1002,West,Maize,Sandy, N ,4786.265331925196,53.760754847526705,1575.23 MT,13.320202993147404,987.569155005016,67.5 %,LOW,646.9029081457364
PLOT_1003,East,Cotton,?, N ,51589.229608336,29.31849621248891,613.29 MT,19.45350516204048,2233.7837409990907,72.8 %,High,769.5626346975276
PLOT_1004,Southwest,Cotton,Sandy, Y ,57497.42038573619,96.45994984843523,663.14mt,12.897902963229456,1571.745798361856,50.4 %,Medium,901.6559051282966
PLOT_1005,East,Rice,Loamy,No,53461.00445089686,24.26844054204177,1316.88 MT,31.37610402377645,1191.0682449507553,83.0%,High,281.67462326248346
PLOT_1006,Southwest,Maize,Clay,yes,77557.5386884042,111.95545801811834,3683.4 MT,14.266458122962405,1756.9924093345242,72.9 %,High  ,641.5384366316463
PLOT_1007,North,Maize,Sandy,YES,69585.79807724296,69.33369050647845,3153.0mt,37.25906962684441,377.7673536358415,65.2 %,?,993.7124831694961
PLOT_1008,West,Maize,Clay,YES,38111.20868172929,18.212575484912584,2422.52 MT,36.15011362325251,671.6619746016924,38.6 %,High  ,563.790935897451
PLOT_1009,South,Cotton,Sandy, Y ,8777.169047900952,91.75904169137306,174.61 MT,10.437173935059501,2020.1604608830912,90.0 %,?,344.972192452684
PLOT_1010,West,Soybeans,?,no,40180.466482151765,69.89537994681756,1507.92 MT,38.66324337648366,899.3636196113442,71.9 %,High,790.8302542972144
PLOT_1011,Southwest,Maize,?,No,56382.54551711376,42.25719647435119,2291.55mt,10.926218135787746,1695.5205139896866,46.6 %,?,991.1643640219606
PLOT_1012, West ,Cotton,Clay,Yes,50185.94542525235,57.817422527981854,133.49 MT,17.66866511864181,1216.4808563518168,71.4 %,Medium,89.82124711895871
PLOT_1013,East ,Rice,Loamy,no,44898.41714602725,42.29221794843735,543.85 MT,11.036452408831842,2273.3130022983382,75.6 %,Low,935.4967228375641
